"EZ",,"Eurozone","-22.3674054","40.3290638"
"AU","AUS","Австралия","-27","133"
"AT","AUT","Австрия","47.33","13.33"
"AZ","AZE","Азербайджан","40.5","47.5"
"AX","ALA","Аландские о-ва","60.258878","19.2272767"
"AL","ALB","Албания","41","20"
"DZ","DZA","Алжир","28","3"
"AS","ASM","Американское Самоа","-14.33","-170"
"AI","AIA","Ангилья","18.25","-63.17"
"AO","AGO","Ангола","-12.5","18.5"
"AD","AND","Андорра","42.5","1.5"
"AQ","ATA","Антарктида","-90","0"
"AG","ATG","Антигуа и Барбуда","17.05","-61.8"
"AR","ARG","Аргентина","-34","-64"
"AM","ARM","Армения","40","45"
"AW","ABW","Аруба","12.5","-69.97"
"AF","AFG","Афганистан","33","65"
"BS","BHS","Багамы","24.25","-76"
"BD","BGD","Бангладеш","24","90"
"BB","BRB","Барбадос","13.17","-59.53"
"BH","BHR","Бахрейн","26","50.55"
"BY","BLR","Беларусь","53","28"
"BZ","BLZ","Белиз","17.25","-88.75"
"BE","BEL","Бельгия","50.83","4"
"BJ","BEN","Бенин","9.5","2.25"
"BM","BMU","Бермуды","32.33","-64.75"
"BG","BGR","Болгария","43","25"
"BO","BOL","Боливия","-17","-65"
"BQ","BES","Бонэйр, Синт-Эстатиус и Саба","12.201890","-68.262383"
"BA","BIH","Босния и Герцеговина","44","18"
"BW","BWA","Ботсвана","-22","24"
"BR","BRA","Бразилия","-10","-55"
"IO","IOT","Британская территория в Индийском океане","-6","71.5"
"BN","BRN","Бруней-Даруссалам","4.5","114.67"
"BF","BFA","Буркина-Фасо","13","-2"
"BI","BDI","Бурунди","-3.5","30"
"BT","BTN","Бутан","27.5","90.5"
"VU","VUT","Вануату","-16","167"
"VA","VAT","Ватикан","41.9","12.45"
"GB","GBR","Великобритания","54","-2"
"HU","HUN","Венгрия","47","20"
"VE","VEN","Венесуэла","8","-66"
"VG","VGB","Виргинские о-ва (Британские)","18.5","-64.5"
"VI","VIR","Виргинские о-ва (США)","18.33","-64.83"
"UM","UMI","Внешние малые о-ва (США)","19.28","166.6"
"TL","TLS","Восточный Тимор","-8.674213","125.882807"
"VN","VNM","Вьетнам","16","106"
"GA","GAB","Габон","-1","11.75"
"HT","HTI","Гаити","19","-72.42"
"GY","GUY","Гайана","5","-59"
"GM","GMB","Гамбия","13.47","-16.57"
"GH","GHA","Гана","8","-2"
"GP","GLP","Гваделупа","16.25","-61.58"
"GT","GTM","Гватемала","15.5","-90.25"
"GN","GIN","Гвинея","11","-10"
"GW","GNB","Гвинея-Бисау","12","-15"
"DE","DEU","Германия","51","9"
"GG","GGY","Гернси","49.4630442","-2.6581519"
"GI","GIB","Гибралтар","36.18","-5.37"
"HN","HND","Гондурас","15","-86.5"
"HK","HKG","Гонконг (специальный административный район)","22.25","114.17"
"GD","GRD","Гренада","12.12","-61.67"
"GL","GRL","Гренландия","72","-40"
"GR","GRC","Греция","39","22"
"GE","GEO","Грузия","42","43.5"
"GU","GUM","Гуам","13.47","144.78"
"DK","DNK","Дания","56","10"
"JE","JEY","Джерси","49.2122654","-2.2708329"
"DJ","DJI","Джибути","11.5","43"
"DG",,"Диего-Гарсия","-7.3432227","72.3588798"
"DM","DMA","Доминика","15.42","-61.33"
"DO","DOM","Доминиканская Республика","19","-70.67"
"EG","EGY","Египет","27","30"
"ZM","ZMB","Замбия","-15","30"
"EH","ESH","Западная Сахара","24.5","-13"
"ZW","ZWE","Зимбабве","-20","30"
"IL","ISR","Израиль","31.5","34.75"
"IN","IND","Индия","20","77"
"ID","IDN","Индонезия","-5","120"
"JO","JOR","Иордания","31","36"
"IQ","IRQ","Ирак","33","44"
"IR","IRN","Иран","32","53"
"IE","IRL","Ирландия","53","-8"
"IS","ISL","Исландия","65","-18"
"ES","ESP","Испания","40","-4"
"IT","ITA","Италия","42.83","12.83"
"YE","YEM","Йемен","15","48"
"CV","CPV","Кабо-Верде","16","-24"
"KZ","KAZ","Казахстан","48","68"
"KY","CYM","Каймановы о-ва","19.5","-80.5"
"KH","KHM","Камбоджа","13","105"
"CM","CMR","Камерун","6","12"
"CA","CAN","Канада","60","-95"
"IC",,"Канарские о-ва","28.4260613","-18.0971522"
"QA","QAT","Катар","25.5","51.25"
"KE","KEN","Кения","1","38"
"CY","CYP","Кипр","35","33"
"KG","KGZ","Киргизия","41","75"
"KI","KIR","Кирибати","1.42","173"
"CN","CHN","Китай","35","105"
"KP","PRK","КНДР","40","127"
"CC","CCK","Кокосовые о-ва","-12.5","96.83"
"CO","COL","Колумбия","4","-72"
"KM","COM","Коморы","-12.17","44.25"
"CG","COG","Конго - Браззавиль","-1","15"
"CD","COD","Конго - Киншаса","0","25"
"XK","XKX","Косово","42.5571984","19.7809767"
"CR","CRI","Коста-Рика","10","-84"
"CI","CIV","Кот-д’Ивуар","8","-5"
"CU","CUB","Куба","21.5","-80"
"KW","KWT","Кувейт","29.34","47.66"
"CW","CUW","Кюрасао","12.2077333","-69.4934829"
"LA","LAO","Лаос","18","105"
"LV","LVA","Латвия","57","25"
"LS","LSO","Лесото","-29.5","28.5"
"LR","LBR","Либерия","6.5","-9.5"
"LB","LBN","Ливан","33.83","35.83"
"LY","LBY","Ливия","25","17"
"LT","LTU","Литва","56","24"
"LI","LIE","Лихтенштейн","47.17","9.53"
"LU","LUX","Люксембург","49.75","6.17"
"MU","MUS","Маврикий","-20.28","57.55"
"MR","MRT","Мавритания","20","-12"
"MG","MDG","Мадагаскар","-20","47"
"YT","MYT","Майотта","-12.83","45.17"
"MO","MAC","Макао (специальный административный район)","22.17","113.55"
"MK","MKD","Македония","41.83","22"
"MW","MWI","Малави","-13.5","34"
"MY","MYS","Малайзия","2.5","112.5"
"ML","MLI","Мали","17","-4"
"MV","MDV","Мальдивы","3.25","73"
"MT","MLT","Мальта","35.83","14.58"
"MA","MAR","Марокко","32","-5"
"MQ","MTQ","Мартиника","14.67","-61"
"MH","MHL","Маршалловы Острова","9","168"
"MX","MEX","Мексика","23","-102"
"MZ","MOZ","Мозамбик","-18.25","35"
"MD","MDA","Молдова","47","29"
"MC","MCO","Монако","43.73","7.4"
"MN","MNG","Монголия","46","105"
"MS","MSR","Монтсеррат","16.75","-62.2"
"MM","MMR","Мьянма (Бирма)","22","98"
"NA","NAM","Намибия","-22","17"
"NR","NRU","Науру","-0.53","166.92"
"NP","NPL","Непал","28","84"
"NE","NER","Нигер","16","8"
"NG","NGA","Нигерия","10","8"
"NL","NLD","Нидерланды","52.5","5.75"
"NI","NIC","Никарагуа","13","-85"
"NU","NIU","Ниуэ","-19.03","-169.87"
"NZ","NZL","Новая Зеландия","-41","174"
"NC","NCL","Новая Каледония","-21.5","165.5"
"NO","NOR","Норвегия","62","10"
"AC",,"о-в Вознесения","-22.9856679","-28.5217201"
"IM","IMN","о-в Мэн","54.231068","-4.530906"
"NF","NFK","о-в Норфолк","-29.03","167.95"
"CX","CXR","о-в Рождества","-10.5","105.67"
"SH","SHN","о-в Св. Елены","-15.93","-5.7"
"TC","TCA","о-ва Тёркс и Кайкос","21.75","-71.58"
"AE","ARE","ОАЭ","24","54"
"OM","OMN","Оман","21","57"
"UN",,"Организация Объединенных Наций",,
"CK","COK","Острова Кука","-21.23","-159.77"
"PN","PCN","острова Питкэрн","-24.373725","-128.327502"
"PK","PAK","Пакистан","30","70"
"PW","PLW","Палау","7.5","134.5"
"PS","PSE","Палестинские территории","32","35.25"
"PA","PAN","Панама","9","-80"
"PG","PNG","Папуа – Новая Гвинея","-6","147"
"PY","PRY","Парагвай","-23","-58"
"PE","PER","Перу","-10","-76"
"PL","POL","Польша","52","20"
"PT","PRT","Португалия","39.5","-8"
"PR","PRI","Пуэрто-Рико","18.25","-66.5"
"KR","KOR","Республика Корея","37","127.5"
"RE","REU","Реюньон","-21.1","55.6"
"RU","RUS","Россия","60","100"
"RW","RWA","Руанда","-2","30"
"RO","ROU","Румыния","46","25"
"SV","SLV","Сальвадор","13.83","-88.92"
"WS","WSM","Самоа","-13.58","-172.33"
"SM","SMR","Сан-Марино","43.77","12.42"
"ST","STP","Сан-Томе и Принсипи","1","7"
"SA","SAU","Саудовская Аравия","25","45"
"SZ","SWZ","Свазиленд","-26.5","31.5"
"MP","MNP","Северные Марианские о-ва","15.2","145.75"
"SC","SYC","Сейшельские Острова","-4.58","55.67"
"BL","BLM","Сен-Бартелеми","17.900403","-62.820297"
"MF","MAF","Сен-Мартен","18.074290","-63.045674"
"PM","SPM","Сен-Пьер и Микелон","46.83","-56.33"
"SN","SEN","Сенегал","14","-14"
"VC","VCT","Сент-Винсент и Гренадины","13.25","-61.2"
"KN","KNA","Сент-Китс и Невис","17.33","-62.75"
"LC","LCA","Сент-Люсия","13.88","-61.13"
"RS","SRB","Сербия","44","21"
"EA",,"Сеута и Мелилья","35.2862811","-2.9620361"
"SG","SGP","Сингапур","1.37","103.8"
"SX","SXM","Синт-Мартен","18.072431","-63.050396"
"SY","SYR","Сирия","35","38"
"SK","SVK","Словакия","48.67","19.5"
"SI","SVN","Словения","46","15"
"US","USA","Соединенные Штаты","38","-97"
"SB","SLB","Соломоновы Острова","-8","159"
"SO","SOM","Сомали","10","49"
"SD","SDN","Судан","15","30"
"SR","SUR","Суринам","4","-56"
"SL","SLE","Сьерра-Леоне","8.5","-11.5"
"TJ","TJK","Таджикистан","39","71"
"TH","THA","Таиланд","15","100"
"TW","TWN","Тайвань","23.5","121"
"TZ","TZA","Танзания","-6","35"
"TG","TGO","Того","8","1.17"
"TK","TKL","Токелау","-9","-172"
"TO","TON","Тонга","-20","-175"
"TT","TTO","Тринидад и Тобаго","11","-61"
"TA",,"Тристан-да-Кунья","-37.101683","12.277804"
"TV","TUV","Тувалу","-8","178"
"TN","TUN","Тунис","34","9"
"TM","TKM","Туркменистан","40","60"
"TR","TUR","Турция","39","35"
"UG","UGA","Уганда","1","32"
"UZ","UZB","Узбекистан","41","64"
"UA","UKR","Украина","49","32"
"WF","WLF","Уоллис и Футуна","-13.3","-176.2"
"UY","URY","Уругвай","-33","-56"
"FO","FRO","Фарерские о-ва","62","-7"
"FM","FSM","Федеративные Штаты Микронезии","6.92","158.25"
"FJ","FJI","Фиджи","-18","175"
"PH","PHL","Филиппины","13","122"
"FI","FIN","Финляндия","64","26"
"FK","FLK","Фолклендские о-ва","-51.75","-59"
"FR","FRA","Франция","46","2"
"GF","GUF","Французская Гвиана","4","-53"
"PF","PYF","Французская Полинезия","-15","-140"
"TF","ATF","Французские Южные территории","-43","67"
"HR","HRV","Хорватия","45.17","15.5"
"CF","CAF","ЦАР","7","21"
"TD","TCD","Чад","15","19"
"ME","MNE","Черногория","42","19"
"CZ","CZE","Чехия","49.75","15.5"
"CL","CHL","Чили","-30","-71"
"CH","CHE","Швейцария","47","8"
"SE","SWE","Швеция","62","15"
"SJ","SJM","Шпицберген и Ян-Майен","78","20"
"LK","LKA","Шри-Ланка","7","81"
"EC","ECU","Эквадор","-2","-77.5"
"GQ","GNQ","Экваториальная Гвинея","2","10"
"ER","ERI","Эритрея","15","39"
"EE","EST","Эстония","59","26"
"ET","ETH","Эфиопия","8","38"
"ZA","ZAF","ЮАР","-29","24"
"GS","SGS","Южная Георгия и Южные Сандвичевы о-ва","-54.5","-37"
"SS","SSD","Южный Судан","7.7660983","20.6491937"
"JM","JAM","Ямайка","18.25","-77.5"
"JP","JPN","Япония","36","138"
